Temperature,Velocity,Server_1_Power,Server_2_Power,Server_3_Power,Server_4_Power,Server_5_Power,Server_6_Power,Server_7_Power,Server_8_Power,Server_9_Power,Server_10_Power,Server_11_Power,Server_12_Power,images
290,1.75,0,0,0,0,0,0,100,100,100,100,100,100,dp537
290,2.22,0,0,0,0,0,0,100,100,100,100,100,100,dp538
290,2.65,0,0,0,0,0,0,100,100,100,100,100,100,dp539
295,1.75,0,0,0,0,0,0,100,100,100,100,100,100,dp540
295,2.22,0,0,0,0,0,0,100,100,100,100,100,100,dp541
295,2.65,0,0,0,0,0,0,100,100,100,100,100,100,dp542
299,1.75,0,0,0,0,0,0,100,100,100,100,100,100,dp543
299,2.22,0,0,0,0,0,0,100,100,100,100,100,100,dp544
299,2.65,0,0,0,0,0,0,100,100,100,100,100,100,dp545
290,1.75,100,100,100,100,100,100,0,0,0,0,0,0,dp546
290,2.22,100,100,100,100,100,100,0,0,0,0,0,0,dp547
290,2.65,100,100,100,100,100,100,0,0,0,0,0,0,dp548
295,1.75,100,100,100,100,100,100,0,0,0,0,0,0,dp549
295,2.22,100,100,100,100,100,100,0,0,0,0,0,0,dp550
295,2.65,100,100,100,100,100,100,0,0,0,0,0,0,dp551
299,1.75,100,100,100,100,100,100,0,0,0,0,0,0,dp552
299,2.22,100,100,100,100,100,100,0,0,0,0,0,0,dp553
299,2.65,100,100,100,100,100,100,0,0,0,0,0,0,dp554
290,1.75,100,0,100,0,100,0,100,0,100,0,100,0,dp555
290,2.22,100,0,100,0,100,0,100,0,100,0,100,0,dp556
290,2.65,100,0,100,0,100,0,100,0,100,0,100,0,dp557
295,1.75,100,0,100,0,100,0,100,0,100,0,100,0,dp558
295,2.22,100,0,100,0,100,0,100,0,100,0,100,0,dp559
295,2.65,100,0,100,0,100,0,100,0,100,0,100,0,dp560
299,1.75,100,0,100,0,100,0,100,0,100,0,100,0,dp561
299,2.22,100,0,100,0,100,0,100,0,100,0,100,0,dp562
299,2.65,100,0,100,0,100,0,100,0,100,0,100,0,dp563
290,1.75,0,0,0,100,100,100,100,100,100,0,0,0,dp564
290,2.22,0,0,0,100,100,100,100,100,100,0,0,0,dp565
290,2.65,0,0,0,100,100,100,100,100,100,0,0,0,dp566
295,1.75,0,0,0,100,100,100,100,100,100,0,0,0,dp567
295,2.22,0,0,0,100,100,100,100,100,100,0,0,0,dp568
295,2.65,0,0,0,100,100,100,100,100,100,0,0,0,dp569
299,1.75,0,0,0,100,100,100,100,100,100,0,0,0,dp570
299,2.22,0,0,0,100,100,100,100,100,100,0,0,0,dp571
299,2.65,0,0,0,100,100,100,100,100,100,0,0,0,dp572
290,1.75,0,0,50,50,75,75,75,100,100,100,100,100,dp573
290,2.22,0,0,50,50,75,75,75,100,100,100,100,100,dp574
290,2.65,0,0,50,50,75,75,75,100,100,100,100,100,dp575
295,1.75,0,0,50,50,75,75,75,100,100,100,100,100,dp576
295,2.22,0,0,50,50,75,75,75,100,100,100,100,100,dp577
295,2.65,0,0,50,50,75,75,75,100,100,100,100,100,dp578
299,1.75,0,0,50,50,75,75,75,100,100,100,100,100,dp579
299,2.22,0,0,50,50,75,75,75,100,100,100,100,100,dp580
299,2.65,0,0,50,50,75,75,75,100,100,100,100,100,dp581
290,1.75,100,100,100,100,100,75,75,75,50,50,0,0,dp582
290,2.22,100,100,100,100,100,75,75,75,50,50,0,0,dp583
290,2.65,100,100,100,100,100,75,75,75,50,50,0,0,dp584
295,1.75,100,100,100,100,100,75,75,75,50,50,0,0,dp585
295,2.22,100,100,100,100,100,75,75,75,50,50,0,0,dp586
295,2.65,100,100,100,100,100,75,75,75,50,50,0,0,dp587
299,1.75,100,100,100,100,100,75,75,75,50,50,0,0,dp588
299,2.22,100,100,100,100,100,75,75,75,50,50,0,0,dp589
299,2.65,100,100,100,100,100,75,75,75,50,50,0,0,dp590
