Temperature,Velocity,Server_1_Power,Server_2_Power,Server_3_Power,Server_4_Power,Server_5_Power,Server_6_Power,Server_7_Power,Server_8_Power,Server_9_Power,Server_10_Power,Server_11_Power,Server_12_Power,images
299,2.22,75,75,75,75,100,0,100,100,75,50,50,100,dp1
290,2.22,100,75,100,75,50,50,0,50,100,50,75,50,dp2
299,2.65,0,50,75,75,100,50,75,0,100,0,50,50,dp3
299,2.22,50,100,75,100,0,100,0,100,75,0,50,50,dp4
290,1.75,100,50,0,50,75,75,100,0,75,75,0,50,dp5
290,1.75,50,100,50,0,75,50,100,50,0,100,50,100,dp6
299,1.75,0,75,0,0,0,0,75,75,100,50,75,75,dp7
295,2.65,50,75,0,0,50,100,100,50,50,0,100,75,dp8
299,2.22,0,50,100,75,75,0,100,100,50,100,100,0,dp9
299,1.75,100,75,0,0,50,100,50,75,0,0,0,75,dp10
299,2.65,75,50,50,50,100,0,0,50,0,50,100,100,dp11
299,2.22,75,100,50,100,75,0,50,0,75,75,75,0,dp12
290,2.65,0,0,0,75,75,50,50,0,100,100,75,75,dp13
299,1.75,75,50,50,75,75,75,100,50,100,100,75,75,dp14
295,1.75,0,0,100,50,75,75,100,0,50,0,0,0,dp15
290,1.75,0,75,75,0,50,100,50,50,50,0,75,50,dp16
295,2.65,0,50,50,0,75,75,100,0,100,100,100,75,dp17
295,2.65,0,100,0,0,75,100,100,0,50,75,75,75,dp18
295,1.75,75,100,100,50,75,75,0,100,75,50,50,100,dp19
295,2.65,50,50,100,75,75,50,50,75,100,50,0,100,dp20
290,1.75,50,50,0,0,75,100,100,75,100,100,100,100,dp21
290,1.75,100,0,100,0,100,75,50,0,100,75,50,0,dp22
295,2.22,50,75,0,50,100,0,50,75,75,0,50,0,dp23
295,2.65,0,50,50,100,50,75,0,0,75,50,75,75,dp24
290,1.75,100,75,0,75,0,0,0,50,100,0,0,50,dp25
290,1.75,0,75,75,100,0,50,75,50,50,75,50,75,dp26
290,2.65,50,75,0,100,75,75,100,75,75,50,100,0,dp27
299,2.22,75,100,50,0,100,0,0,0,75,75,50,50,dp28
299,2.22,100,50,0,0,75,0,100,0,0,100,50,50,dp29
299,1.75,100,75,0,100,0,75,0,100,0,50,75,75,dp30
295,2.65,75,100,75,50,100,50,0,0,0,0,50,100,dp31
299,2.22,100,75,50,0,50,75,75,50,50,50,100,0,dp32
295,2.65,50,50,50,75,75,100,0,100,0,75,75,75,dp33
295,2.65,100,50,50,75,50,50,100,0,75,75,100,100,dp34
299,1.75,50,75,0,100,0,0,75,75,100,75,75,75,dp35
295,2.22,0,100,50,0,75,0,75,75,0,100,75,100,dp36
299,1.75,50,75,100,100,50,100,100,50,75,100,100,100,dp37
299,2.22,0,50,0,50,75,75,100,50,75,50,75,0,dp38
290,2.22,75,0,75,100,0,75,100,0,100,50,50,0,dp39
299,2.22,75,0,100,75,50,75,50,75,75,75,100,100,dp40
290,2.22,0,0,50,100,50,0,50,0,100,75,100,50,dp41
299,2.22,50,100,100,0,50,50,100,75,50,75,100,100,dp42
299,2.65,0,50,75,0,50,0,100,50,0,0,75,0,dp43
290,1.75,50,50,75,50,100,50,50,0,0,50,75,0,dp44
290,2.65,75,50,50,100,0,50,100,0,50,50,0,0,dp45
299,2.22,0,50,50,100,75,0,50,50,0,75,0,75,dp46
295,1.75,50,75,100,50,100,0,0,0,75,50,0,0,dp47
290,2.22,50,0,100,50,50,50,100,50,100,50,75,0,dp48
295,1.75,75,0,100,75,50,0,0,75,100,75,100,100,dp49
295,2.65,0,75,75,100,75,50,50,75,75,100,50,50,dp50
295,1.75,0,100,0,50,100,75,100,75,75,100,75,0,dp51
